Salesperson,ProductClass,Year,Month,Invoice,QtyInvoiced,NetSalesValue,TargetSales,CustomerClass
SM-SH,TEA,2023,1,10000032,1.0,48.0,6134.5,CTRD-HRC
SM-SH,ACC,2023,1,10000032,1.0,59.0,277336.6064,CTRD-HRC
SM-SH,ACC,2023,1,10000032,1.0,49.0,277336.6064,CTRD-HRC
SM-JW,DVG,2023,1,10000033,12.0,432.0,387911.0545,CTRD-HRC
SM-SC,DVG,2023,1,10000034,5.0,194.25,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000034,4.0,155.4,276849.2018,CTRD-HRC
SM-CH,DVG,2023,1,10000035,2.0,80.0,13709.47273,CTRD-HRC
SM-CH,DVG,2023,1,10000035,2.0,114.0,13709.47273,CTRD-HRC
SM-CH,TEA,2023,1,10000035,2.0,358.0,15167.0,CTRD-HRC
SM-CH,TEA,2023,1,10000035,1.0,90.0,15167.0,CTRD-HRC
SM-JL,DVG,2023,1,10000036,8.0,312.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000036,10.0,577.5,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000036,24.0,1026.0,334839.4709,CTRD-HRC
SM-JL,DVG,2023,1,10000036,12.0,360.0,334839.4709,CTRD-HRC
SM-SH,DVG,2023,1,10000037,5.0,180.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,3.0,108.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,4.0,144.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,2.0,72.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,1.0,36.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,1.0,51.3,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,1.0,58.5,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,4.0,187.2,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000037,9.0,388.8,277336.6064,CTRD-HRC
SM-JL,DVG,2023,1,10000038,9.0,438.75,334839.4709,CTRD-HRC
SM-SC,CHOCP,2023,1,10000039,20.0,660.0,276849.2018,CTRD-HRC
SM-SH,DVG,2023,1,10000040,2.0,64.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000040,3.0,129.6,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000040,2.0,104.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000040,2.0,126.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000040,6.0,240.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000040,2.0,80.0,277336.6064,CTRD-HRC
SM-SH,TEA,2023,1,10000040,2.0,83.2,6134.5,CTRD-HRC
SM-SH,TEA,2023,1,10000040,4.0,166.4,6134.5,CTRD-HRC
SM-SH,TEA,2023,1,10000040,2.0,83.2,6134.5,CTRD-HRC
SM-SH,TEA,2023,1,10000040,1.0,45.6,6134.5,CTRD-HRC
SM-SH,CHOCP,2023,1,10000040,5.0,175.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000041,4.0,144.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000041,3.0,189.0,277336.6064,CTRD-HRC
SM-JL,DVG,2023,1,10000042,12.0,324.0,334839.4709,CTRD-SD
SM-JL,DVG,2023,1,10000042,6.0,292.5,334839.4709,CTRD-SD
SM-SC,DVG,2023,1,10000043,96.0,3000.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000043,30.0,1320.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000043,60.0,2955.0,276849.2018,CTRD-KA
SM-SC,DVG,2023,1,10000044,6.0,240.0,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000044,5.0,200.0,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000044,4.0,160.0,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000044,1.0,40.0,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000044,1.0,40.0,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000044,3.0,171.0,276849.2018,CTRD-HRC
SM-SC,DVG,2023,1,10000044,2.0,80.0,276849.2018,CTRD-HRC
SM-SH,DVG,2023,1,10000045,7.0,245.7,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000045,3.0,105.3,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000045,3.0,105.3,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000045,1.0,36.0,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000045,3.0,170.1,277336.6064,CTRD-HRC
SM-SH,DVG,2023,1,10000045,1.0,56.7,277336.6064,CTRD-HRC
SM-JL,FG,2023,1,10000046,24.0,816.0,151250.0,CTRD-HRC
SM-SC,FG,2023,1,10000047,40.0,1000.0,139750.0,CTRD-KA
SM-SC,FG,2023,1,10000048,40.0,1000.0,139750.0,CTRD-KA
SM-SC,FG,2023,1,10000049,40.0,1000.0,139750.0,CTRD-KA
SM-SC,FG,2023,1,10000050,40.0,1000.0,139750.0,CTRD-KA
SM-SC,FG,2023,1,10000050,150.0,1987.5,139750.0,CTRD-KA
SM-SC,FG,2023,1,10000051,24.0,660.0,139750.0,CTRD-KA
SM-SC,FG,2023,1,10000052,2.0,50.0,139750.0,CTRD-KA
SM-JW,FG,2023,1,10000053,30.0,1350.0,375000.0,CTRD-KA
SM-SC,FG,2023,1,10000054,5.0,275.0,139750.0,CTRD-KA
SM-SH,FG,2023,1,10000055,24.0,960.0,71500.0,CTRD-HRC
SM-JL,FG,2023,1,10000056,36.0,1224.0,151250.0,CTRD-HRC
SM-JW,FG,2023,1,10000057,24.0,1320.0,375000.0,CTRD-HRC
SM-JW,DVG,2023,1,10000058,3.0,110.25,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000058,4.0,141.0,387911.0545,CTRD-KA
SM-JW,DVG,2023,1,10000058,3.0,126.0,387911.0545,CTRD-KA
